id,url,size,price,obcina
7040899,https://www.nepremicnine.net/oglasi-oddaja/savsko-naselje-majaronova-stanovanje_7040899/,30,350.00 EUR,Ljubljana
6977037,https://www.nepremicnine.net/oglasi-oddaja/savsko-naselje-linhartova-cesta-1-nadstropje-stanovanje_6977037/,20,450.00 EUR,Ljubljana
7023520,https://www.nepremicnine.net/oglasi-oddaja/seca-lucija-stanovanje_7023520/,20,500.00 EUR,Piran
7019516,https://www.nepremicnine.net/oglasi-oddaja/studenci-stanovanje_7019516/,10,320.00 EUR,Maribor
7038352,https://www.nepremicnine.net/oglasi-oddaja/tabor-2000-maribor-slovenija-stanovanje_7038352/,12.3,200.00 EUR,Maribor
6489356,https://www.nepremicnine.net/oglasi-oddaja/trnava-5a-gomilsko-stanovanje_6489356/,10,180.00 EUR,Braslovče
7042251,https://www.nepremicnine.net/oglasi-oddaja/tabor-maribor-v-blizini-ukc-stanovanje_7042251/,15,180.00 EUR,Maribor
7041832,https://www.nepremicnine.net/oglasi-oddaja/trnovo-stanovanje_7041832/,10,260.00 EUR,Ljubljana
7016902,https://www.nepremicnine.net/oglasi-oddaja/slovenj-gradec-fzsv-kozmeticna-polimeri-bolnis-stanovanje_7016902/,20,180.00 EUR,Slovenj Gradec
6334505,https://www.nepremicnine.net/oglasi-oddaja/velenje-do-velenja-je-4km-stanovanje_6334505/,22,120.00 EUR,Velenje
6821294,https://www.nepremicnine.net/oglasi-oddaja/tacen-stanovanje_6821294/,20,300.00 EUR,Ljubljana
7036903,https://www.nepremicnine.net/oglasi-oddaja/stepanjsko-naselje-stanovanje_7036903/,30,250.00 EUR,Ljubljana
6859745,https://www.nepremicnine.net/oglasi-oddaja/skofja-loka-stanovanje_6859745/,14,280.00 EUR,Škofja Loka
6509868,https://www.nepremicnine.net/oglasi-oddaja/velenje-efenkova-cesta-61-stanovanje_6509868/,15,200.00 EUR,Velenje
7040084,https://www.nepremicnine.net/oglasi-oddaja/tabor-ruska-cesta-31a-stanovanje_7040084/,7.5,250.00 EUR,Maribor
6524709,https://www.nepremicnine.net/oglasi-oddaja/vizmarje-stanovanje_6524709/,12,250.00 EUR,Ljubljana
7000101,https://www.nepremicnine.net/oglasi-oddaja/trnovo-opekarska-soba-stanovanje_7000101/,19,430.00 EUR,Ljubljana
6958270,https://www.nepremicnine.net/oglasi-oddaja/skofja-loka-stanovanje_6958270/,236,350.00 EUR,Škofja Loka
6998299,https://www.nepremicnine.net/oglasi-oddaja/tabor-stanovanje_6998299/,20,400.00 EUR,Maribor
6958264,https://www.nepremicnine.net/oglasi-oddaja/skofja-loka-stanovanje_6958264/,236,250.00 EUR,Škofja Loka
7042165,https://www.nepremicnine.net/oglasi-oddaja/sempeter-pri-gorici-stanovanje_7042165/,20,280.00 EUR,Šempeter - Vrtojba
7009226,https://www.nepremicnine.net/oglasi-oddaja/tabor-linhartova-ulica-stanovanje_7009226/,10,200.00 EUR,Maribor
7041370,https://www.nepremicnine.net/oglasi-oddaja/trnovlje-pri-celju-stanovanje_7041370/,30,300.00 EUR,Celje
6789691,https://www.nepremicnine.net/oglasi-oddaja/sempeter-pri-gorici-stanovanje_6789691/,20,250.00 EUR,Šempeter - Vrtojba
7042416,https://www.nepremicnine.net/oglasi-oddaja/stozice-blizina-ac-lpp-stanovanje_7042416/,11,270.00 EUR,Ljubljana
7039124,https://www.nepremicnine.net/oglasi-oddaja/stepanjsko-naselje-stanovanje_7039124/,10,230.00 EUR,Ljubljana
6893077,https://www.nepremicnine.net/oglasi-oddaja/velenje-stanovanje_6893077/,15,210.00 EUR,Velenje
7042672,https://www.nepremicnine.net/oglasi-oddaja/spodnje-gameljne-stanovanje_7042672/,25,450.00 EUR,Ljubljana
6636122,https://www.nepremicnine.net/oglasi-oddaja/vrhnika-center-stanovanje_6636122/,30,230.00 EUR,Vrhnika
7031275,https://www.nepremicnine.net/oglasi-oddaja/vodmat-stanovanje_7031275/,10,370.00 EUR,Ljubljana
7038892,https://www.nepremicnine.net/oglasi-oddaja/zelena-jama-smartinska-stanovanje_7038892/,10,400.00 EUR,Ljubljana
6940155,https://www.nepremicnine.net/oglasi-oddaja/vrhnika-vrtnarija-stanovanje_6940155/,16,200.00 EUR,Vrhnika
6926042,https://www.nepremicnine.net/oglasi-oddaja/vodmat-stanovanje_6926042/,51.9,300.00 EUR,Ljubljana
7033440,https://www.nepremicnine.net/oglasi-oddaja/zbilje-stanovanje_7033440/,16,300.00 EUR,Medvode
